,apr,fixed_var,annual_fee,clv_profit,bk_score,clv_profit_test_prediction,clv_profit_average_prediction
0,14.9,Fixed,0,0.15683150275928925,250,0.15163183126417004,0.15423166701172963
1,14.9,Fixed,0,2.144023554093159,200,1.824466867819889,1.984245210956524
2,14.9,Variable,0,0.7141802548771454,250,0.6745821388831736,0.6943811968801595
3,14.9,Fixed,0,2.971507434576524,150,2.2183469598329726,2.5949271972047483
4,14.9,Variable,0,2.1294012047900286,200,1.7662424870277058,1.947821845908867
5,14.9,Variable,0,2.674108463727359,150,1.9431287029286586,2.3086185833280086
6,16.8,Fixed,0,0.8625119119839117,250,0.6340306316180773,0.7482712718009945
7,16.8,Fixed,0,1.7311730576263602,200,1.1129459621853524,1.4220595099058564
8,16.8,Variable,0,0.9425070043480893,250,0.6749294837332688,0.808718244040679
9,16.8,Fixed,0,2.0335806022188487,150,1.142177759523662,1.5878791808712556
10,16.8,Variable,0,1.548305571959924,200,0.9691585484305583,1.2587320601952412
11,14.9,Fixed,20,0.7953859524677506,250,0.7299721472667577,0.7626790498672542
12,19.8,Fixed,0,1.092964031295078,250,1.095546115041546,1.0942550731683118
13,16.8,Variable,0,1.7350193062642558,150,0.9486043255806947,1.3418118159224754
14,14.9,Fixed,20,1.2863845506567937,200,1.0331081615175923,1.159746356087193
15,19.8,Fixed,0,1.4809472389954936,200,1.2993898764151752,1.3901685577053344
16,14.9,Variable,20,0.7755859163172006,250,0.694830844929645,0.7352083806234228
17,14.9,Fixed,20,1.4349083471813668,150,1.0074868984653245,1.2211976228233457
18,19.8,Variable,0,0.9809196384960593,250,0.9602960117791752,0.9706078251376173
19,19.8,Fixed,0,1.5668802002058846,150,1.2022302480907332,1.3845552241483088
20,14.9,Variable,20,1.1143926437317486,200,0.8730961504599034,0.9937443970958261
21,19.8,Variable,0,1.2449843838252654,200,1.066122991681811,1.1555536877535382
22,14.9,Variable,20,1.2010579825583052,150,0.8223741145804241,1.0117160485693648
23,16.8,Fixed,20,0.6203910593992289,250,0.4301593326007481,0.5252751959999885
24,19.8,Variable,0,1.2870115414525674,150,0.9633667372852522,1.1251891393689097
25,16.8,Fixed,20,0.8214699013431215,200,0.49755220234697894,0.6595110518450502
26,16.8,Variable,20,0.550099806202125,250,0.3720826017195319,0.4610912039608284
27,16.8,Fixed,20,0.8616917888172945,150,0.4557871789158377,0.658739483866566
28,16.8,Variable,20,0.6862873108058877,200,0.4054487393858007,0.5458680250958442
29,19.8,Fixed,20,0.5220391136104956,250,0.4972764282293902,0.5096577709199429
30,16.8,Variable,20,0.7045824047593301,150,0.36350365836790266,0.5340430315636163
31,19.8,Fixed,20,0.6043770188894846,200,0.5030564190734151,0.5537167189814499
32,19.8,Variable,20,0.4369017817585974,250,0.40631600015162167,0.4216088909551095
33,19.8,Fixed,20,0.6024976652354711,150,0.4380887076809304,0.5202931864582007
34,19.8,Variable,20,0.4906629317862272,200,0.3986550638142182,0.4446589978002227
35,19.8,Variable,20,0.4828607000134815,150,0.3426783030075568,0.41276950151051917
